ELECTION_DATE,ELECTION_NAME,COUNTY_ID,COUNTY_NAME,BALLOT_MEASURE_ID,BALLOT_MEASURE_NAME,BALLOT_MEASURE_TITLE,YES_COUNT,NO_COUNT
11/08/2016,2016 Presidential General,1,Alameda,51,Proposition 51,K-12 and Community College Facilities,"388,254","238,800"
11/08/2016,2016 Presidential General,1,Alameda,52,Proposition 52,Medi-Cal Hospital Fee Program,"474,148","144,095"
11/08/2016,2016 Presidential General,1,Alameda,53,Proposition 53,Voter Approval of Revenue Bonds,"236,803","368,952"
11/08/2016,2016 Presidential General,1,Alameda,54,Proposition 54,Legislative Procedure Requirements,"391,069","209,933"
11/08/2016,2016 Presidential General,1,Alameda,55,Proposition 55,Tax Extension for Education and Healthcare,"464,626","161,335"
11/08/2016,2016 Presidential General,1,Alameda,56,Proposition 56,Cigarette Tax,"477,303","163,267"
11/08/2016,2016 Presidential General,1,Alameda,57,Proposition 57,Criminal Sentences & Juvenile Crime Proceedings,"484,119","143,590"
11/08/2016,2016 Presidential General,1,Alameda,58,Proposition 58,English Proficiency. Multilingual Education.,"512,567","114,819"
11/08/2016,2016 Presidential General,1,Alameda,59,Proposition 59,Corporate Political Spending Advisory Question,"388,587","192,115"
11/08/2016,2016 Presidential General,1,Alameda,60,Proposition 60,Adult Film Condom Requirements,"253,245","340,950"
11/08/2016,2016 Presidential General,1,Alameda,61,Proposition 61,State Prescription Drug Purchase Standards,"345,490","251,476"
11/08/2016,2016 Presidential General,1,Alameda,62,Proposition 62,Repeal of Death Penalty,"379,990","231,919"
11/08/2016,2016 Presidential General,1,Alameda,63,Proposition 63,Firearms and Ammunition Sales,"478,253","142,826"
11/08/2016,2016 Presidential General,1,Alameda,64,Proposition 64,Marijuana Legalization,"417,599","211,277"
11/08/2016,2016 Presidential General,1,Alameda,65,Proposition 65,Carryout Bag Charges,"282,191","324,200"
11/08/2016,2016 Presidential General,1,Alameda,66,Proposition 66,Death Penalty Procedure Time Limits,"231,988","351,432"
11/08/2016,2016 Presidential General,1,Alameda,67,Proposition 67,Ban on Single-use Plastic Bags,"433,763","182,455"
11/08/2016,2016 Presidential General,2,Alpine,51,Proposition 51,K-12 and Community College Facilities,323,266
11/08/2016,2016 Presidential General,2,Alpine,52,Proposition 52,Medi-Cal Hospital Fee Program,397,175
11/08/2016,2016 Presidential General,2,Alpine,53,Proposition 53,Voter Approval of Revenue Bonds,279,294
11/08/2016,2016 Presidential General,2,Alpine,54,Proposition 54,Legislative Procedure Requirements,304,265
11/08/2016,2016 Presidential General,2,Alpine,55,Proposition 55,Tax Extension for Education and Healthcare,367,215
11/08/2016,2016 Presidential General,2,Alpine,56,Proposition 56,Cigarette Tax,368,227
11/08/2016,2016 Presidential General,2,Alpine,57,Proposition 57,Criminal Sentences & Juvenile Crime Proceedings,398,183
11/08/2016,2016 Presidential General,2,Alpine,58,Proposition 58,English Proficiency. Multilingual Education.,424,155
11/08/2016,2016 Presidential General,2,Alpine,59,Proposition 59,Corporate Political Spending Advisory Question,365,199
11/08/2016,2016 Presidential General,2,Alpine,60,Proposition 60,Adult Film Condom Requirements,178,388
11/08/2016,2016 Presidential General,2,Alpine,61,Proposition 61,State Prescription Drug Purchase Standards,250,309
11/08/2016,2016 Presidential General,2,Alpine,62,Proposition 62,Repeal of Death Penalty,304,280
11/08/2016,2016 Presidential General,2,Alpine,63,Proposition 63,Firearms and Ammunition Sales,278,310
11/08/2016,2016 Presidential General,2,Alpine,64,Proposition 64,Marijuana Legalization,370,224
11/08/2016,2016 Presidential General,2,Alpine,65,Proposition 65,Carryout Bag Charges,176,404
11/08/2016,2016 Presidential General,2,Alpine,66,Proposition 66,Death Penalty Procedure Time Limits,236,308
11/08/2016,2016 Presidential General,2,Alpine,67,Proposition 67,Ban on Single-use Plastic Bags,321,264
11/08/2016,2016 Presidential General,3,Amador,51,Proposition 51,K-12 and Community College Facilities,"6,774","10,753"
11/08/2016,2016 Presidential General,3,Amador,52,Proposition 52,Medi-Cal Hospital Fee Program,"9,807","7,627"
11/08/2016,2016 Presidential General,3,Amador,53,Proposition 53,Voter Approval of Revenue Bonds,"9,146","8,125"
11/08/2016,2016 Presidential General,3,Amador,54,Proposition 54,Legislative Procedure Requirements,"10,791","6,439"
11/08/2016,2016 Presidential General,3,Amador,55,Proposition 55,Tax Extension for Education and Healthcare,"8,587","8,864"
11/08/2016,2016 Presidential General,3,Amador,56,Proposition 56,Cigarette Tax,"7,986","9,884"
11/08/2016,2016 Presidential General,3,Amador,57,Proposition 57,Criminal Sentences & Juvenile Crime Proceedings,"7,784","9,773"
11/08/2016,2016 Presidential General,3,Amador,58,Proposition 58,English Proficiency. Multilingual Education.,"10,319","7,160"
11/08/2016,2016 Presidential General,3,Amador,59,Proposition 59,Corporate Political Spending Advisory Question,"6,823","9,914"
11/08/2016,2016 Presidential General,3,Amador,60,Proposition 60,Adult Film Condom Requirements,"6,135","10,882"
11/08/2016,2016 Presidential General,3,Amador,61,Proposition 61,State Prescription Drug Purchase Standards,"5,984","11,388"
11/08/2016,2016 Presidential General,3,Amador,62,Proposition 62,Repeal of Death Penalty,"5,141","12,430"
11/08/2016,2016 Presidential General,3,Amador,63,Proposition 63,Firearms and Ammunition Sales,"5,768","11,938"
11/08/2016,2016 Presidential General,3,Amador,64,Proposition 64,Marijuana Legalization,"8,607","9,291"
11/08/2016,2016 Presidential General,3,Amador,65,Proposition 65,Carryout Bag Charges,"5,638","11,746"
11/08/2016,2016 Presidential General,3,Amador,66,Proposition 66,Death Penalty Procedure Time Limits,"9,502","7,477"
11/08/2016,2016 Presidential General,3,Amador,67,Proposition 67,Ban on Single-use Plastic Bags,"6,572","11,082"
11/08/2016,2016 Presidential General,4,Butte,51,Proposition 51,K-12 and Community College Facilities,"47,658","45,420"
11/08/2016,2016 Presidential General,4,Butte,52,Proposition 52,Medi-Cal Hospital Fee Program,"63,181","28,790"
11/08/2016,2016 Presidential General,4,Butte,53,Proposition 53,Voter Approval of Revenue Bonds,"48,918","41,380"
11/08/2016,2016 Presidential General,4,Butte,54,Proposition 54,Legislative Procedure Requirements,"61,353","29,754"
11/08/2016,2016 Presidential General,4,Butte,55,Proposition 55,Tax Extension for Education and Healthcare,"55,286","37,637"
11/08/2016,2016 Presidential General,4,Butte,56,Proposition 56,Cigarette Tax,"49,566","46,110"
11/08/2016,2016 Presidential General,4,Butte,57,Proposition 57,Criminal Sentences & Juvenile Crime Proceedings,"53,534","40,077"
11/08/2016,2016 Presidential General,4,Butte,58,Proposition 58,English Proficiency. Multilingual Education.,"64,490","28,612"
11/08/2016,2016 Presidential General,4,Butte,59,Proposition 59,Corporate Political Spending Advisory Question,"44,846","43,554"
11/08/2016,2016 Presidential General,4,Butte,60,Proposition 60,Adult Film Condom Requirements,"34,112","56,823"
11/08/2016,2016 Presidential General,4,Butte,61,Proposition 61,State Prescription Drug Purchase Standards,"34,153","57,104"
11/08/2016,2016 Presidential General,4,Butte,62,Proposition 62,Repeal of Death Penalty,"36,322","57,078"
11/08/2016,2016 Presidential General,4,Butte,63,Proposition 63,Firearms and Ammunition Sales,"39,619","54,611"
11/08/2016,2016 Presidential General,4,Butte,64,Proposition 64,Marijuana Legalization,"51,034","44,697"
11/08/2016,2016 Presidential General,4,Butte,65,Proposition 65,Carryout Bag Charges,"41,067","51,364"
11/08/2016,2016 Presidential General,4,Butte,66,Proposition 66,Death Penalty Procedure Time Limits,"48,592","40,289"
11/08/2016,2016 Presidential General,4,Butte,67,Proposition 67,Ban on Single-use Plastic Bags,"46,666","47,356"
11/08/2016,2016 Presidential General,5,Calaveras,51,Proposition 51,K-12 and Community College Facilities,"9,060","13,578"
11/08/2016,2016 Presidential General,5,Calaveras,52,Proposition 52,Medi-Cal Hospital Fee Program,"13,458","8,945"
11/08/2016,2016 Presidential General,5,Calaveras,53,Proposition 53,Voter Approval of Revenue Bonds,"12,499","9,687"
11/08/2016,2016 Presidential General,5,Calaveras,54,Proposition 54,Legislative Procedure Requirements,"14,666","7,631"
11/08/2016,2016 Presidential General,5,Calaveras,55,Proposition 55,Tax Extension for Education and Healthcare,"12,113","10,508"
